"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","London","All","92.8","%","4.4","85500","92100","333"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","London","Men","6.6","%","6","3300","49800","165"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","London","Men","93.4","%","6","46500","49800","165"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","London","Women","8","%","6.5","3400","42300","168"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","London","Women","92","%","6.5","38900","42300","168"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South East","All","7.6","%","6.2","2300","30800","172"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South East","All","92.4","%","6.2","28400","30800","172"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Wales","Men","?","%","?","?","?","?"
