"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","75,938","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","4,544","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","1,099","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","6,858","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","3,003","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","557","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","17,079","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","12,277","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","11,587","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","690","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","44","254","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","3,044","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","925","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","47","167","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","91,652","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","78,017","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","73,700","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","4,317","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","957","","","",""
