"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South West","Region","16+","69.6","54.7","84.5","29","23","35",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","16-24","99.2","98.9","99.4","7,033","7,017","7,050",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","25-34","99.1","98.9","99.3","8,809","8,790","8,828",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","35-44","98.4","98.1","98.7","8,110","8,088","8,132",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","45-54","96.2","95.8","96.6","8,800","8,764","8,837",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","55-64","90","89.4","90.7","6,882","6,831","6,932",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","65-74","77.5","76.6","78.4","5,028","4,967","5,089",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","75+","40.5","38.6","42.5","2,050","1,951","2,150",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.2","99","99.5","5,792","5,777","5,807",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.3","99.1","99.5","7,324","7,308","7,339",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","35-44","98.6","98.3","98.9","6,711","6,692","6,730",""
