"Ethnicity","Local Authority","Number","%"
"Mixed","Dudley","270","8.47"
"Mixed","Durham","30","2.91"
"Mixed","Ealing","216","4.67"
"Mixed","East Riding of Yorkshire","33","3.35"
"Mixed","East Sussex","199","6.20"
"Mixed","Enfield","366","6.07"
"Mixed","Essex","473","4.75"
"Mixed","Gateshead","39","6.75"
"Mixed","Gloucestershire","383","9.43"
"Mixed","Greenwich","269","5.67"
"Mixed","Hackney","244","6.68"
"Mixed","Halton","20","4.21"
"Mixed","Hammersmith and Fulham","160","6.15"
"Mixed","Hampshire","266","4.06"
"Mixed","Haringey","218","4.99"
"Mixed","Harrow","114","3.78"
"Mixed","Hartlepool","13","6.67"
"Mixed","Havering","109","4.16"
"Mixed","Herefordshire","22","3.67"
"Mixed","Hertfordshire","729","5.23"
"Mixed","Hillingdon","180","3.06"
"Mixed","Hounslow","195","5.26"
"Mixed","Isle of Wight","26","5.39"
"Mixed","Isles Of Scilly","0","0.00"
"Mixed","Islington","304","8.01"
"Mixed","Kensington and Chelsea","116","5.23"
"Mixed","Kent","437","3.58"
"Mixed","Kingston upon Hull City of","32","2.13"
"Mixed","Kingston upon Thames","98","3.67"
"Mixed","Kirklees","499","11.42"
"Mixed","Knowsley","15","3.42"
"Mixed","Lambeth","323","5.91"
"Mixed","Lancashire","215","3.92"
"Mixed","Leeds","438","5.70"
"Mixed","Leicester","277","6.84"
"Mixed","Leicestershire","215","4.76"
"Mixed","Lewisham","285","4.58"
"Mixed","Lincolnshire","108","3.71"
"Mixed","Liverpool","145","3.73"
"Mixed","Luton","259","8.05"
"Mixed","Manchester","513","7.01"
"Mixed","Medway","166","5.92"
"Mixed","Merton","134","4.05"
"Mixed","Middlesbrough","106","8.47"
"Mixed","Milton Keynes","252","6.73"
"Mixed","Newcastle upon Tyne","76","4.47"
"Mixed","Newham","295","7.12"
"Mixed","Norfolk","187","5.26"
"Mixed","North East Lincolnshire","27","4.32"
"Mixed","North Lincolnshire","23","5.11"
"Mixed","North Somerset","63","6.19"
"Mixed","North Tyneside","14","1.74"
"Mixed","North Yorkshire","166","8.41"
"Mixed","Northamptonshire","384","6.09"
"Mixed","Northumberland","43","5.46"
"Mixed","Nottingham","522","9.06"
"Mixed","Nottinghamshire","260","4.85"
"Mixed","Oldham","96","4.76"
"Mixed","Oxfordshire","367","6.08"
"Mixed","Peterborough","130","5.73"
"Mixed","Plymouth","66","6.01"
"Mixed","Poole","25","2.99"
"Mixed","Portsmouth","163","12.25"
"Mixed","Reading","214","9.03"
"Mixed","Redbridge","174","4.04"
"Mixed","Redcar and Cleveland","40","9.13"
"Mixed","Richmond upon Thames","108","3.69"
"Mixed","Rochdale","106","6.17"
"Mixed","Rotherham","157","12.11"
"Mixed","Rutland","1","0.67"
"Mixed","Salford","65","2.41"
"Mixed","Sandwell","337","6.73"
"Mixed","Sefton","35","3.57"
"Mixed","Sheffield","636","10.58"
"Mixed","Shropshire","40","4.21"
"Mixed","Slough","122","4.34"
"Mixed","Solihull","307","9.75"
"Mixed","Somerset","139","7.86"
"Mixed","South Gloucestershire","164","8.30"
"Mixed","South Tyneside","18","3.93"
"Mixed","Southampton","132","6.42"
"Mixed","Southend-on-Sea","79","4.37"
"Mixed","Southwark","265","5.33"
"Mixed","St. Helens","40","8.11"
"Mixed","Staffordshire","246","6.22"
"Mixed","Stockport","140","6.32"
"Mixed","Stockton-on-Tees","97","10.99"
"Mixed","Stoke-on-Trent","214","11.16"
"Mixed","Suffolk","273","5.05"
"Mixed","Sunderland","45","6.66"
"Mixed","Surrey","239","2.48"
"Mixed","Sutton","139","3.80"
"Mixed","Swindon","136","7.14"
"Mixed","Tameside","175","10.10"
"Mixed","Telford and Wrekin","195","13.35"
"Mixed","Thurrock","52","3.12"
"Mixed","Torbay","59","9.39"
"Mixed","Tower Hamlets","194","6.92"
"Mixed","Trafford","163","5.31"
"Mixed","Wakefield","134","8.36"
"Mixed","Walsall","211","6.43"
"Mixed","Waltham Forest","258","5.35"
"Mixed","Wandsworth","194","4.51"
"Mixed","Warrington","31","2.99"
"Mixed","Warwickshire","168","4.40"
"Mixed","West Berkshire","84","6.61"
"Mixed","West Sussex","326","6.13"
"Mixed","Westminster","130","5.35"
"Mixed","Wigan","31","2.93"
"Mixed","Wiltshire","131","5.88"
"Mixed","Windsor and Maidenhead","70","3.91"
"Mixed","Wirral","61","4.40"
"Mixed","Wokingham","89","4.91"
"Mixed","Wolverhampton","431","8.42"
"Mixed","Worcestershire","110","3.87"
"Mixed","York","27","3.52"
"White","Barking and Dagenham","358","2.17"
"White","Barnet","739","2.47"
"White","Barnsley","5,717","17.75"
"White","Bath and North East Somerset","1,392","5.78"
"White","Bedford","709","3.76"
"White","Bexley","1,861","6.78"
"White","Birmingham","3,273","4.76"
"White","Blackburn with Darwen","637","4.84"
"White","Blackpool","1,453","8.30"
"White","Bolton","2,831","8.80"
"White","Bournemouth","1,670","8.34"
"White","Bracknell Forest","934","6.18"
"White","Bradford","2,766","5.90"
"White","Brent","262","2.20"
"White","Brighton and Hove","1,397","5.44"
"White","Bristol City of","3,811","9.26"
