"Ethnicity","Local Authority","Number","%"
"Chinese","Barnsley","0","0.00"
"Chinese","Bath and North East Somerset","0","0.00"
"Chinese","Bedford","0","0.00"
"Chinese","Bexley","1","0.17"
"Chinese","Birmingham","0","0.00"
"Chinese","Blackburn with Darwen","0","0.00"
"Chinese","Blackpool","0","0.00"
"Chinese","Bolton","0","0.00"
"Chinese","Bournemouth","0","0.00"
"Chinese","Bracknell Forest","0","0.00"
"Chinese","Bradford","0","0.00"
"Chinese","Brent","0","0.00"
"Chinese","Brighton and Hove","0","0.00"
"Chinese","Bristol City of","0","0.00"
"Chinese","Bromley","0","0.00"
"Chinese","Buckinghamshire","0","0.00"
"Chinese","Bury","0","0.00"
"Chinese","Calderdale","0","0.00"
"Chinese","Cambridgeshire","0","0.00"
"Chinese","Camden","0","0.00"
"Chinese","Central Bedfordshire","0","0.00"
"Chinese","Cheshire East","0","0.00"
"Chinese","Cheshire West and Chester","0","0.00"
"Chinese","City of London","0","0.00"
"Chinese","Cornwall","0","0.00"
"Chinese","Coventry","0","0.00"
"Chinese","Croydon","0","0.00"
"Chinese","Cumbria","0","0.00"
"Chinese","Darlington","0","0.00"
"Chinese","Derby","0","0.00"
"Chinese","Derbyshire","0","0.00"
"Chinese","Devon","0","0.00"
"Chinese","Doncaster","0","0.00"
"Chinese","Dorset","0","0.00"
"Chinese","Dudley","0","0.00"
"Chinese","Durham","0","0.00"
"Chinese","Ealing","0","0.00"
"Chinese","East Riding of Yorkshire","0","0.00"
"Chinese","East Sussex","0","0.00"
"Chinese","Enfield","0","0.00"
"Chinese","Essex","0","0.00"
"Chinese","Gateshead","0","0.00"
"Chinese","Gloucestershire","0","0.00"
"Chinese","Greenwich","0","0.00"
"Chinese","Hackney","0","0.00"
"Chinese","Halton","0","0.00"
"Chinese","Hammersmith and Fulham","0","0.00"
"Chinese","Hampshire","0","0.00"
"Chinese","Haringey","0","0.00"
"Chinese","Harrow","0","0.00"
"Chinese","Hartlepool","0","0.00"
"Chinese","Havering","0","0.00"
"Chinese","Herefordshire","0","0.00"
"Chinese","Hertfordshire","0","0.00"
"Chinese","Hillingdon","0","0.00"
"Chinese","Hounslow","0","0.00"
"Chinese","Isle of Wight","0","0.00"
"Chinese","Isles Of Scilly","0","0.00"
"Chinese","Islington","0","0.00"
"Chinese","Kensington and Chelsea","0","0.00"
"Chinese","Kent","0","0.00"
"Chinese","Kingston upon Hull City of","0","0.00"
"Chinese","Kingston upon Thames","0","0.00"
"Chinese","Kirklees","0","0.00"
"Chinese","Knowsley","0","0.00"
"Chinese","Lambeth","0","0.00"
"Chinese","Lancashire","0","0.00"
"Chinese","Leeds","0","0.00"
"Chinese","Leicester","0","0.00"
"Chinese","Leicestershire","0","0.00"
"Chinese","Lewisham","0","0.00"
"Chinese","Lincolnshire","0","0.00"
"Chinese","Liverpool","0","0.00"
"Chinese","Luton","0","0.00"
"Chinese","Manchester","0","0.00"
"Chinese","Medway","0","0.00"
"Chinese","Merton","0","0.00"
"Chinese","Middlesbrough","0","0.00"
"Chinese","Milton Keynes","0","0.00"
"Chinese","Newcastle upon Tyne","0","0.00"
"Chinese","Newham","0","0.00"
"Chinese","Norfolk","0","0.00"
